股票代碼,股票名稱,現價,10日前,10日%,20日前,20日%,10日均,10日均-5%,狀態,低於10日,距10日均%,RSI,今日高,今日低,成交量,均量,量比,52週高,52週低,本益比,市值,前1日,前1日%,前2日,前2日%,前3日,前3日%,前4日,前4日%,前5日,前5日%,前6日,前6日%,前7日,前7日%,更新時間
TSM,台積電 ADR,423.93,417.47,1.55,416.74,1.73,427.95,406.55,觀察中,OBS,-0.94,56.8,426.94,417.21,10349500,13508402,0.77,445.65,207.22,36.48,2.20T,421.07,3.25,407.8,-4.48,426.92,0.26,425.8,2.8,414.2,-6.69,443.88,1.88,435.67,-2.24,2026-06-15T12:20:39
GOOGL,Alphabet,359.68,380.11,-5.37,400.83,-10.27,363.82,345.63,觀察中,OBS,-1.14,34.1,366.57,354.94,24704600,31521491,0.78,402.38,164.72,27.48,4.39T,357.77,0.39,356.38,-2.16,364.26,0.26,363.31,-1.36,368.31,-0.98,371.97,3.68,358.78,-0.79,2026-06-15T12:20:39
AAPL,Apple,291.13,312.06,-6.71,298.21,-2.37,302.08,286.98,觀察中,OBS,-3.62,34.2,297.14,289.62,38742100,50268342,0.77,315.2,194.87,35.2,4.28T,295.63,1.39,291.58,0.35,290.55,-3.64,301.54,-1.89,307.34,-1.25,311.23,0.31,310.26,-1.57,2026-06-15T12:20:39
NVDA,NVIDIA,205.19,210.89,-2.7,235.47,-12.86,211.22,200.66,觀察中,OBS,-2.85,42.3,207.07,203.44,112001800,170368545,0.66,235.47,141.78,31.42,4.97T,204.87,2.22,200.42,-3.73,208.19,-0.22,208.64,1.73,205.1,-6.2,218.66,1.94,214.5,-3.62,2026-06-15T12:20:39
TSLA,Tesla,406.43,435.79,-6.74,443.3,-8.32,406.56,386.23,觀察中,OBS,-0.03,43.6,406.68,386.76,63514500,52090154,1.22,489.88,293.94,369.48,1.53T,399.15,4.6,381.59,-3.8,396.68,-3.0,408.95,4.59,391.0,-6.56,418.45,-1.24,423.7,-0.01,2026-06-15T12:20:39
PLTR,Palantir,127.99,156.54,-18.24,133.73,-4.29,139.01,132.06,觸發加碼,Alert,-7.93,43.5,131.09,126.65,35378000,41199511,0.86,207.18,127.99,142.21,306.8B,131.08,0.67,130.21,-1.41,132.07,-3.22,136.47,0.69,135.53,-4.35,141.7,-0.35,142.2,-6.55,2026-06-15T12:20:39
META,Meta Platforms,566.98,632.51,-10.36,618.43,-8.32,591.8,562.21,觸發加碼,OBS,-4.19,35.9,576.07,560.9,14326400,17609588,0.81,788.15,525.72,20.62,1.44T,568.43,-0.45,570.98,-2.33,584.59,-0.14,585.39,-1.28,593.0,-5.51,627.57,0.74,622.98,4.24,2026-06-15T12:20:39
MSFT,Microsoft,390.74,450.24,-13.22,408.55,-4.36,416.75,395.91,觸發加碼,Alert,-6.24,38.9,391.74,382.27,34865800,36296274,0.96,538.66,356.0,23.26,2.90T,390.34,-1.77,397.36,-1.5,403.41,-2.02,411.74,-1.18,416.67,-2.66,428.05,0.17,427.34,-3.17,2026-06-15T12:20:39
INTC,Intel,124.57,114.68,8.62,115.93,7.45,110.77,105.23,觀察中,OBS,12.46,53.4,127.6,115.33,151169400,147906862,1.02,129.44,19.31,,626.1B,116.96,9.27,107.04,-0.82,107.92,-2.13,110.27,11.19,99.17,-11.28,111.78,-0.83,112.71,4.43,2026-06-15T12:20:39
MU,Micron Technology,981.61,971.0,1.09,776.01,26.49,979.37,930.4,觀察中,OBS,0.23,64.2,1012.62,960.19,40785200,53191445,0.77,1079.57,104.73,46.3,1.11T,995.87,11.66,891.88,-4.7,935.89,-1.41,949.28,9.87,864.01,-13.25,996.0,-7.74,1079.57,1.45,2026-06-15T12:20:39
ASX,ASX,38.12,38.35,-0.6,35.25,8.14,36.96,35.11,觀察中,OBS,3.14,57.4,38.56,36.6,9416100,9933337,0.95,40.6,9.5,59.56,83.6B,36.8,7.29,34.3,-2.22,35.08,-1.24,35.52,4.38,34.03,-11.38,38.4,-3.78,39.91,1.66,2026-06-15T12:20:39
AMZN,Amazon,238.55,270.64,-11.86,267.22,-10.73,247.51,235.13,觸發加碼,OBS,-3.62,26.8,243.36,233.59,51186600,44342431,1.15,274.99,198.79,31.64,2.57T,241.51,1.47,238.0,-2.53,244.19,-0.42,245.22,-0.33,246.03,-3.06,253.79,1.51,250.02,-2.53,2026-06-15T12:20:39
LLY,Eli Lilly,1133.0,1105.0,2.53,1004.97,12.74,1120.6,1064.57,觀察中,OBS,1.11,62.4,1169.99,1132.81,2435200,3439145,0.71,1160.95,621.26,40.32,1.01T,1160.95,2.16,1136.37,-0.73,1144.68,-0.39,1149.15,1.57,1131.42,0.55,1125.27,4.31,1078.78,1.37,2026-06-15T12:20:39
ASML,ASML Holding,1863.55,1612.76,15.55,1584.51,17.61,1748.35,1660.93,觀察中,OBS,6.59,66.7,1892.8,1839.0,2529600,1787925,1.41,1899.48,686.0,62.49,718.2B,1899.48,9.53,1734.19,-2.45,1777.77,1.64,1749.04,6.54,1641.74,-6.59,1757.47,1.8,1726.36,1.23,2026-06-15T12:20:39
LRCX,Lam Research,366.81,318.18,15.28,299.15,22.62,333.77,317.08,觀察中,OBS,9.9,68.7,373.82,354.89,9253300,9899800,0.93,366.81,88.87,69.47,458.7B,362.52,12.65,321.8,-1.64,327.16,0.84,324.45,6.98,303.28,-9.85,336.41,-2.12,343.71,2.78,2026-06-15T12:20:39
